Date,Open,High,Low,Close,Adj Close,Volume
2019-09-18,0.186982,0.213079,0.183777,0.193520,0.193520,3240831730
2019-09-19,0.193504,0.195170,0.184831,0.193424,0.193424,3317185092
2019-09-20,0.193451,0.193407,0.188368,0.190296,0.190296,3228296032
2019-09-21,0.189930,0.190291,0.181983,0.184142,0.184142,3403759680
2019-09-22,0.184789,0.185740,0.181275,0.184570,0.184570,2705474303
2019-09-23,0.184215,0.184104,0.175761,0.176008,0.176008,2520738133
2019-09-24,0.176255,0.177558,0.147401,0.158083,0.158083,3977645147
2019-09-25,0.158198,0.159216,0.149809,0.155949,0.155949,4187779821
2019-09-26,0.156296,0.158194,0.147330,0.152950,0.152950,3333219269
2019-09-27,0.152956,0.157398,0.149893,0.156905,0.156905,3367585329
2019-09-28,0.157015,0.158506,0.155261,0.157525,0.157525,2555219322
2019-09-29,0.157808,0.164699,0.154057,0.156757,0.156757,2951565313
2019-09-30,0.156994,0.170689,0.153386,0.168654,0.168654,4021207413
2019-10-01,0.169025,0.177578,0.169316,0.169817,0.169817,2884490915
2019-10-02,0.170021,0.171575,0.164645,0.167308,0.167308,2997035312
2019-10-03,0.167112,0.167959,0.162650,0.165115,0.165115,2612994144
2019-10-04,0.165025,0.167336,0.161723,0.167140,0.167140,3034348568
2019-10-05,0.166792,0.168379,0.163385,0.164480,0.164480,2787668960
2019-10-06,0.164510,0.167302,0.162187,0.166187,0.166187,2839683158
2019-10-07,0.165855,0.171171,0.163887,0.169939,0.169939,3420731195
2019-10-08,0.169898,0.172208,0.165485,0.167076,0.167076,3534124396
2019-10-09,0.166622,0.170855,0.164775,0.169824,0.169824,2835448106
2019-10-10,0.170096,0.170347,0.165400,0.165539,0.165539,3507917907
2019-10-11,0.165583,0.169316,0.162694,0.166607,0.166607,2896684159
2019-10-12,0.165423,0.169336,0.164159,0.166253,0.166253,3231893973
2019-10-13,0.166162,0.185678,0.164757,0.173586,0.173586,4485906077
2019-10-14,0.173668,0.187818,0.172998,0.181355,0.181355,4450110528
2019-10-15,0.181366,0.183394,0.178421,0.179434,0.179434,3645066943
2019-10-16,0.179364,0.186882,0.178856,0.186079,0.186079,3597155434
2019-10-17,0.185838,0.208529,0.184216,0.195955,0.195955,4927139647
2019-10-18,0.196086,0.203524,0.189644,0.192371,0.192371,4330096264
2019-10-19,0.192221,0.198717,0.189692,0.194978,0.194978,4962438542
2019-10-20,0.194944,0.197166,0.190738,0.193974,0.193974,5238823731
2019-10-21,0.194076,0.199504,0.185696,0.196751,0.196751,5878406405
2019-10-22,0.196656,0.196691,0.181339,0.181750,0.181750,5350248889
2019-10-23,0.181648,0.182980,0.168992,0.176450,0.176450,5597265093
2019-10-24,0.176198,0.181267,0.174047,0.180247,0.180247,5765276557
2019-10-25,0.180309,0.192256,0.177217,0.190107,0.190107,6980097447
2019-10-26,0.190148,0.202496,0.183571,0.185712,0.185712,8399812575
2019-10-27,0.185656,0.194617,0.183805,0.187996,0.187996,7052217728
2019-10-28,0.188120,0.192584,0.185978,0.187209,0.187209,6524937321
2019-10-29,0.187280,0.193434,0.187467,0.188205,0.188205,5983131300
2019-10-30,0.188274,0.189990,0.184003,0.185353,0.185353,6243493886
2019-10-31,0.185499,0.189882,0.183545,0.185645,0.185645,5117795974
2019-11-01,0.185748,0.186611,0.183218,0.185976,0.185976,5534979429
2019-11-02,0.186049,0.186924,0.183128,0.185263,0.185263,4459283788
2019-11-03,0.185287,0.188547,0.184878,0.185932,0.185932,4082856959
2019-11-04,0.185791,0.187271,0.183319,0.185015,0.185015,4533363624
2019-11-05,0.184989,0.187622,0.182208,0.185687,0.185687,5552718463
2019-11-06,0.185630,0.188168,0.185701,0.186617,0.186617,6263948287
2019-11-07,0.186598,0.194236,0.185269,0.193635,0.193635,6901602788
2019-11-08,0.193487,0.194957,0.185829,0.189357,0.189357,6283965924
2019-11-09,0.189414,0.195708,0.189132,0.193636,0.193636,6646631309
2019-11-10,0.193606,0.198746,0.191749,0.198053,0.198053,6904040546
2019-11-11,0.198068,0.198944,0.191012,0.194296,0.194296,6055278276
2019-11-12,0.194204,0.196360,0.192309,0.195629,0.195629,5205264203
2019-11-13,0.195469,0.196636,0.192306,0.194632,0.194632,5842428874
2019-11-14,0.194383,0.194160,0.190130,0.192885,0.192885,5567270396
2019-11-15,0.193009,0.192628,0.186866,0.190308,0.190308,5651159890
2019-11-16,0.190309,0.191648,0.188867,0.191257,0.191257,5125263884
2019-11-17,0.191251,0.194710,0.189200,0.189711,0.189711,5337437360
2019-11-18,0.189681,0.195366,0.183365,0.185348,0.185348,5217562483
2019-11-19,0.185316,0.187417,0.181043,0.183105,0.183105,6148252576
2019-11-20,0.183119,0.193670,0.182509,0.183489,0.183489,5547468629
2019-11-21,0.183428,0.184120,0.170637,0.174066,0.174066,6888006899
2019-11-22,0.174050,0.180868,0.160763,0.169582,0.169582,7869858247
2019-11-23,0.169709,0.179992,0.167077,0.179815,0.179815,8058562387
2019-11-24,0.180097,0.180233,0.164994,0.169828,0.169828,7284894389
2019-11-25,0.170063,0.169816,0.152529,0.163888,0.163888,9290304991
2019-11-26,0.163930,0.167289,0.161785,0.163677,0.163677,7163413180
2019-11-27,0.163639,0.167947,0.158755,0.166616,0.166616,7148408678
2019-11-28,0.166454,0.170314,0.165512,0.165512,0.165512,7009722074
2019-11-29,0.165632,0.176336,0.165391,0.176240,0.176240,7021835336
2019-11-30,0.176219,0.177522,0.166011,0.166447,0.166447,6426690831
2019-12-01,0.166471,0.171790,0.161951,0.164444,0.164444,5525431267
2019-12-02,0.164510,0.165614,0.157885,0.160094,0.160094,4783964347
2019-12-03,0.159998,0.161874,0.155470,0.159089,0.159089,4485376557
2019-12-04,0.159110,0.160227,0.154770,0.157866,0.157866,5229604220
2019-12-05,0.157892,0.164553,0.155036,0.158708,0.158708,4766172165
2019-12-06,0.158553,0.162546,0.155432,0.158708,0.158708,4772119122
2019-12-07,0.158989,0.160298,0.156921,0.159016,0.159016,4486941182
2019-12-08,0.158984,0.166916,0.157343,0.159532,0.159532,3952638889
2019-12-09,0.159473,0.159733,0.156014,0.156700,0.156700,4449587936
2019-12-10,0.156722,0.157398,0.154801,0.156096,0.156096,4944261643
2019-12-11,0.155949,0.158472,0.154288,0.154540,0.154540,4534959157
2019-12-12,0.154584,0.155111,0.152952,0.154404,0.154404,4674457204
2019-12-13,0.154360,0.156050,0.153016,0.153746,0.153746,4655025601
2019-12-14,0.153727,0.155788,0.151996,0.153374,0.153374,5079020602
2019-12-15,0.153434,0.153492,0.147012,0.152243,0.152243,4700100572
2019-12-16,0.152246,0.154832,0.149753,0.150357,0.150357,4847696105
2019-12-17,0.150298,0.152897,0.141855,0.143330,0.143330,6062831444
2019-12-18,0.143811,0.155623,0.142564,0.154988,0.154988,6968435597
2019-12-19,0.154950,0.156623,0.145938,0.151247,0.151247,5631903994
2019-12-20,0.151514,0.152249,0.145638,0.147511,0.147511,4769624764
2019-12-21,0.147663,0.148454,0.145295,0.148150,0.148150,4741127850
2019-12-22,0.148047,0.150728,0.147180,0.150390,0.150390,5046451343
2019-12-23,0.150229,0.152179,0.146323,0.147629,0.147629,5534454395
2019-12-24,0.147659,0.150668,0.146196,0.147706,0.147706,5120772458
2019-12-25,0.147673,0.149518,0.145059,0.148821,0.148821,5644309284
2019-12-26,0.148631,0.149564,0.145956,0.146711,0.146711,5126988642
2019-12-27,0.146793,0.148219,0.145134,0.146609,0.146609,5391829156
2019-12-28,0.146644,0.149304,0.146515,0.147444,0.147444,4609873190
2019-12-29,0.147359,0.151018,0.146893,0.147738,0.147738,4793764459
2019-12-30,0.147840,0.148149,0.145706,0.146529,0.146529,5218715491
2019-12-31,0.146663,0.146620,0.144158,0.144624,0.144624,4953265132
2020-01-01,0.144601,0.146167,0.143964,0.144779,0.144779,3645515773
2020-01-02,0.144896,0.150550,0.141497,0.143318,0.143318,4642855784
2020-01-03,0.143270,0.156239,0.142871,0.153954,0.153954,4493672943
2020-01-04,0.153872,0.178669,0.147106,0.160827,0.160827,6761865486
2020-01-05,0.160745,0.178784,0.151908,0.173602,0.173602,3777045661
2020-01-06,0.173547,0.184055,0.170769,0.176833,0.176833,3917405908
2020-01-07,0.178402,0.179686,0.169381,0.175077,0.175077,3797480994
2020-01-08,0.175100,0.176129,0.161859,0.163820,0.163820,5519382032
2020-01-09,0.163708,0.164761,0.152737,0.160625,0.160625,5032896493
2020-01-10,0.160514,0.167580,0.156114,0.167235,0.167235,6224729149
2020-01-11,0.166872,0.168382,0.162900,0.164171,0.164171,6684720139
2020-01-12,0.164125,0.171214,0.164129,0.168939,0.168939,5636267605
2020-01-13,0.168966,0.170216,0.164591,0.166761,0.166761,5930608041
2020-01-14,0.166774,0.178162,0.165806,0.175013,0.175013,9114473036
2020-01-15,0.174840,0.179735,0.167128,0.167522,0.167522,9119175265
2020-01-16,0.167765,0.171978,0.162729,0.166380,0.166380,6962461612
2020-01-17,0.166476,0.178768,0.164146,0.176892,0.176892,8365597533
2020-01-18,0.176911,0.180303,0.174231,0.178110,0.178110,7682235374
2020-01-19,0.178619,0.182593,0.167622,0.170875,0.170875,7679308853
2020-01-20,0.170895,0.172141,0.167548,0.168649,0.168649,6537124508
2020-01-21,0.168680,0.171022,0.166207,0.169154,0.169154,6002009073
2020-01-22,0.169127,0.170575,0.165009,0.165219,0.165219,5891613837
2020-01-23,0.165211,0.168188,0.159649,0.161753,0.161753,6552936499
2020-01-24,0.161782,0.163568,0.157690,0.162327,0.162327,6195752498
2020-01-25,0.162343,0.162353,0.159430,0.161006,0.161006,5878747462
2020-01-26,0.161018,0.164521,0.159742,0.164382,0.164382,5239562250
2020-01-27,0.164368,0.172398,0.163093,0.169170,0.169170,6360722932
2020-01-28,0.169000,0.174513,0.168312,0.174509,0.174509,6520546242
2020-01-29,0.174581,0.176227,0.170410,0.170410,0.170410,5753021145
2020-01-30,0.170518,0.175076,0.169668,0.174660,0.174660,6009583579
2020-01-31,0.174622,0.175770,0.169357,0.171138,0.171138,5471053095
2020-02-01,0.170972,0.173794,0.170311,0.173173,0.173173,5629175623
2020-02-02,0.173106,0.179172,0.171211,0.176494,0.176494,6545913270
2020-02-03,0.176283,0.179531,0.173107,0.174020,0.174020,5624378258
2020-02-04,0.173920,0.178010,0.170773,0.178010,0.178010,6384967037
2020-02-05,0.177974,0.187201,0.177420,0.183812,0.183812,7527745874
2020-02-06,0.183880,0.190901,0.183527,0.189173,0.189173,7751464203
2020-02-07,0.189222,0.198131,0.189302,0.198009,0.198009,9316666690
2020-02-08,0.197876,0.229467,0.194686,0.225890,0.225890,14575233593
2020-02-09,0.225685,0.252516,0.225425,0.231158,0.231158,15652054127
2020-02-10,0.231275,0.235491,0.207091,0.212925,0.212925,13945094576
2020-02-11,0.214716,0.219927,0.204174,0.216759,0.216759,12100474272
2020-02-12,0.216755,0.226226,0.214854,0.220534,0.220534,12935423184
2020-02-13,0.218450,0.229230,0.211920,0.215681,0.215681,12013559361
2020-02-14,0.213780,0.225094,0.213234,0.223868,0.223868,10074509033
2020-02-15,0.221601,0.227502,0.203046,0.208828,0.208828,10351804206
2020-02-16,0.208639,0.212049,0.187805,0.198443,0.198443,10717172635
2020-02-17,0.195964,0.198267,0.181773,0.193548,0.193548,10676934812
2020-02-18,0.191061,0.203722,0.189469,0.203252,0.203252,10321757401
2020-02-19,0.203203,0.205731,0.187948,0.187948,0.187948,9804596199
2020-02-20,0.188032,0.191441,0.184876,0.191118,0.191118,13504232790
2020-02-21,0.190929,0.194580,0.187913,0.190378,0.190378,11333248896
2020-02-22,0.190538,0.190889,0.185271,0.187009,0.187009,11224938011
2020-02-23,0.186892,0.192825,0.186640,0.192669,0.192669,12993017559
2020-02-24,0.192604,0.193114,0.184318,0.186577,0.186577,11466179420
2020-02-25,0.186618,0.186536,0.175027,0.177988,0.177988,12833556468
2020-02-26,0.177937,0.178763,0.158370,0.167659,0.167659,14432910214
2020-02-27,0.167511,0.171744,0.164693,0.166604,0.166604,11672783021
2020-02-28,0.166570,0.170248,0.160742,0.165184,0.165184,11082070886
2020-02-29,0.164963,0.167465,0.160985,0.161294,0.161294,10583441062
2020-03-01,0.161185,0.165772,0.160465,0.164179,0.164179,11723905416
2020-03-02,0.164447,0.172087,0.162813,0.170095,0.170095,12007074456
2020-03-03,0.170077,0.185345,0.167927,0.183509,0.183509,12848616541
2020-03-04,0.183545,0.184117,0.173841,0.176242,0.176242,10627482552
2020-03-05,0.176324,0.186222,0.176024,0.185068,0.185068,7748396102
2020-03-06,0.184969,0.186143,0.180602,0.184674,0.184674,7419545409
2020-03-07,0.185041,0.185922,0.177678,0.177950,0.177950,6522681953
2020-03-08,0.178082,0.178178,0.161651,0.161841,0.161841,7529011090
2020-03-09,0.162029,0.165460,0.155903,0.164824,0.164824,10199846406
2020-03-10,0.165008,0.166996,0.159923,0.163788,0.163788,8568197906
2020-03-11,0.163887,0.163966,0.155371,0.161970,0.161970,7968306523
2020-03-12,0.161952,0.162260,0.114266,0.114424,0.114424,12497367290
2020-03-13,0.114642,0.133067,0.094122,0.128528,0.128528,16173130495
2020-03-14,0.128450,0.131974,0.121264,0.123197,0.123197,8386144506
2020-03-15,0.123039,0.134462,0.122373,0.124584,0.124584,8857106895
2020-03-16,0.124478,0.125636,0.107785,0.117938,0.117938,9981500302
2020-03-17,0.118212,0.124085,0.115780,0.117506,0.117506,7602179839
2020-03-18,0.117723,0.119447,0.116552,0.117391,0.117391,7662972627
2020-03-19,0.117447,0.138577,0.117102,0.133278,0.133278,18931978740
2020-03-20,0.133143,0.145022,0.126980,0.134047,0.134047,14229944547
2020-03-21,0.133901,0.139960,0.128045,0.134952,0.134952,12564075694
2020-03-22,0.134955,0.141230,0.129828,0.130746,0.130746,12183106005
2020-03-23,0.130488,0.139095,0.128902,0.138178,0.138178,12753045281
2020-03-24,0.138222,0.145508,0.137139,0.140587,0.140587,13455276150
2020-03-25,0.140680,0.143608,0.137133,0.139097,0.139097,12390797104
2020-03-26,0.139026,0.139840,0.137838,0.137613,0.137613,12139695044
2020-03-27,0.137752,0.139780,0.135095,0.135306,0.135306,12453830240
2020-03-28,0.135158,0.135392,0.128504,0.133116,0.133116,12727358247
2020-03-29,0.133047,0.135134,0.129486,0.129927,0.129927,11808526322
2020-03-30,0.129918,0.140849,0.129267,0.138079,0.138079,12310260254
2020-03-31,0.139560,0.139560,0.135988,0.136427,0.136427,11766987800
2020-04-01,0.136492,0.143000,0.135974,0.142960,0.142960,12515578970
2020-04-02,0.143056,0.148014,0.141353,0.143363,0.143363,12635381283
2020-04-03,0.143444,0.146187,0.140070,0.141611,0.141611,12312931383
2020-04-04,0.141598,0.145945,0.140706,0.143702,0.143702,12292132991
2020-04-05,0.143693,0.145897,0.141134,0.142194,0.142194,11631015503
2020-04-06,0.142255,0.150688,0.141174,0.150438,0.150438,13156819313
2020-04-07,0.149829,0.153165,0.146955,0.151086,0.151086,9788447355
2020-04-08,0.150236,0.154861,0.148457,0.152834,0.152834,8833931297
2020-04-09,0.152919,0.154513,0.151274,0.153452,0.153452,8346758943
