Date,Open,High,Low,Close,Adj Close,Volume
2019-09-18,14921.469727,15426.580078,14810.055664,15047.986328,15047.986328,654518902451
2019-09-19,15037.607422,15911.500977,14613.152344,15797.926758,15797.926758,758199784697
2019-09-20,15782.846680,15779.146484,15320.657227,15526.472656,15526.472656,571639936065
2019-09-21,15515.600586,15733.556641,15309.302734,15346.046875,15346.046875,551370116023
2019-09-22,15343.935547,15385.482422,14784.455078,15062.170898,15062.170898,556280386669
2019-09-23,15074.119141,14998.411133,14293.714844,14296.126953,14296.126953,530626507946
2019-09-24,14290.517578,14442.046875,11548.481445,11930.500000,11930.500000,834424413670
2019-09-25,11932.120117,12402.966797,11706.839844,12131.291016,12131.291016,693311407831
2019-09-26,12121.652344,12185.292969,11151.783203,11832.881836,11832.881836,557005017518
2019-09-27,11827.529297,12408.482422,11532.219727,12344.904297,12344.904297,558864191413
2019-09-28,12342.773438,12394.003906,12041.121094,12308.981445,12308.981445,486190246041
2019-09-29,12311.791016,12353.691406,11774.643555,12021.829102,12021.829102,458095544737
2019-09-30,12018.859375,12707.199219,11800.418945,12707.199219,12707.199219,533581038119
2019-10-01,12731.000977,13158.587891,12502.038086,12610.676758,12610.676758,545860002375
2019-10-02,12602.402344,12866.066406,12475.312500,12857.840820,12857.840820,450787694608
2019-10-03,12857.356445,12841.764648,12259.384766,12444.019531,12444.019531,453256895184
2019-10-04,12446.794922,12645.951172,12292.676758,12534.962891,12534.962891,442580357432
2019-10-05,12532.223633,12586.496094,12257.608398,12490.052734,12490.052734,413419064409
2019-10-06,12490.963867,12561.981445,12132.439453,12257.047852,12257.047852,414535512100
2019-10-07,12248.633789,12963.803711,12193.998047,12880.626953,12880.626953,557656405868
2019-10-08,12875.439453,13130.117188,12757.879883,12963.576172,12963.576172,531748659603
2019-10-09,12964.625000,13818.524414,12849.021484,13746.890625,13746.890625,646341327486
2019-10-10,13739.624023,13764.738281,13367.872070,13605.916016,13605.916016,594605899165
2019-10-11,13615.954102,13877.400391,12907.073242,12971.576172,12971.576172,648581557017
2019-10-12,12969.042969,13236.961914,12787.922852,12847.732422,12847.732422,532472064105
2019-10-13,12850.196289,13126.324219,12788.814453,12913.498047,12913.498047,477544219529
2019-10-14,12910.187500,13344.820313,12942.891602,13320.403320,13320.403320,518430248424
2019-10-15,13321.553711,13424.830078,12831.588867,12970.533203,12970.533203,552799129940
2019-10-16,12966.077148,12964.652344,12421.965820,12561.080078,12561.080078,548880263242
2019-10-17,12553.471680,12725.125000,12416.867188,12663.157227,12663.157227,479219711343
2019-10-18,12660.326172,12666.890625,12156.834961,12342.828125,12342.828125,537889050651
2019-10-19,12344.826172,12484.076172,12242.882813,12292.473633,12292.473633,465746131445
2019-10-20,12296.861328,12554.093750,12162.807617,12469.960938,12469.960938,483149458788
2019-10-21,12469.277344,12605.354492,12289.480469,12405.308594,12405.308594,483374590985
2019-10-22,12404.179688,12443.750000,12204.029297,12206.481445,12206.481445,495267001099
2019-10-23,12203.786133,12194.446289,11136.600586,11485.937500,11485.937500,680722933769
2019-10-24,11493.811523,11656.052734,11424.588867,11515.522461,11515.522461,518435197428
2019-10-25,11517.026367,12963.728516,11473.672852,12859.104492,12859.104492,733802800238
2019-10-26,12869.294922,13880.567383,12477.318359,12739.544922,12739.544922,979843648405
2019-10-27,12746.427734,13328.922852,12587.017578,13051.717773,13051.717773,766201295466
2019-10-28,13062.718750,13291.812500,12751.773438,12922.499023,12922.499023,736225446297
2019-10-29,12923.035156,13600.897461,12928.647461,13494.259766,13494.259766,753096374898
2019-10-30,13493.820313,13538.819336,12861.171875,13084.027344,13084.027344,742775154167
2019-10-31,13091.498047,13397.565430,12781.251953,13057.972656,13057.972656,681971572480
2019-11-01,13046.386719,13084.647461,12804.287109,13007.592773,13007.592773,646640471546
2019-11-02,13011.003906,13096.586914,12891.277344,12970.829102,12970.829102,570382233357
